TASK,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
ENC,120,1000,3,2,OBJ,OLP,1,4,stimuli/fractals/124a.jpg,0.388148978359375,-0.398464599725797,stimuli/fractals/124a.jpg,stimuli/fractals/124b.jpg,stimuli/fractals/124c.jpg,0.388148978359375,-0.398464599725797,0.217727810971841,0.0692772619719445,0.066093135850376,-0.119234919945111,-0.26805860775423,0.105156950683167
ENC,121,2000,3,2,OBJ,OLP,1,4,stimuli/fractals/147a.jpg,-0.182369120862807,0.0937513045186392,stimuli/fractals/147a.jpg,stimuli/fractals/147c.jpg,stimuli/fractals/147b.jpg,-0.182369120862807,0.0937513045186392,-0.368329099279506,-0.120805810285674,-0.0222658615731642,0.393333014912797,0.304694577245454,0.379783810146882
ENC,122,1000,3,2,OBJ,ERP,2,0,stimuli/fractals/126a.jpg,-0.102521489579154,0.161945508863461,stimuli/fractals/126a.jpg,stimuli/fractals/126c.jpg,stimuli/fractals/126b.jpg,-0.102521489579154,0.161945508863461,-0.354434847473417,0.359961730363472,0.00627417093020816,-0.367056365939855,0.325846603778229,-0.345217736775988
ENC,123,6000,3,2,OBJ,ERP,1,3,stimuli/fractals/83b.jpg,-0.126176886746885,0.146327587634107,stimuli/fractals/83b.jpg,stimuli/fractals/83c.jpg,stimuli/fractals/83a.jpg,-0.126176886746885,0.146327587634107,-0.35404951348643,-0.324618751902253,-0.371350454829287,0.361853356596739,0.301797501452088,-0.39938107772306
ENC,124,1000,3,2,OBJ,OLP,2,0,stimuli/fractals/57c.jpg,-0.028136778901196,0.152788979881581,stimuli/fractals/57b.jpg,stimuli/fractals/57c.jpg,stimuli/fractals/57a.jpg,-0.028136778901196,0.152788979881581,-0.308555512214184,0.0136051440964761,-0.104165938782228,-0.211419295032802,0.378131469087358,-0.302524626490787
ENC,125,2000,3,2,OBJ,OLP,2,0,stimuli/fractals/124b.jpg,0.388148978359375,-0.398464599725797,stimuli/fractals/124a.jpg,stimuli/fractals/124b.jpg,stimuli/fractals/124c.jpg,0.388148978359375,-0.398464599725797,0.217727810971841,0.0692772619719445,0.066093135850376,-0.119234919945111,-0.26805860775423,0.105156950683167
ENC,126,1000,3,2,OBJ,OLP,2,0,stimuli/fractals/147c.jpg,-0.182369120862807,0.0937513045186392,stimuli/fractals/147a.jpg,stimuli/fractals/147c.jpg,stimuli/fractals/147b.jpg,-0.182369120862807,0.0937513045186392,-0.368329099279506,-0.120805810285674,-0.0222658615731642,0.393333014912797,0.304694577245454,0.379783810146882
ENC,127,2000,3,2,OBJ,ERP,2,0,stimuli/fractals/83b.jpg,-0.126176886746885,0.146327587634107,stimuli/fractals/83b.jpg,stimuli/fractals/83c.jpg,stimuli/fractals/83a.jpg,-0.126176886746885,0.146327587634107,-0.35404951348643,-0.324618751902253,-0.371350454829287,0.361853356596739,0.301797501452088,-0.39938107772306
ENC,128,2000,3,2,OBJ,ERP,1,3,stimuli/fractals/99b.jpg,0.0400367662597542,0.40451821050214,stimuli/fractals/99b.jpg,stimuli/fractals/99c.jpg,stimuli/fractals/99a.jpg,0.0400367662597542,0.40451821050214,0.264861107056703,0.0838778748784019,0.16530458632621,-0.11179650101606,-0.244036667021697,-0.291273935017788
ENC,129,3000,3,2,OBJ,ERP,1,4,stimuli/fractals/128c.jpg,0.289747709321708,0.100503939636149,stimuli/fractals/128c.jpg,stimuli/fractals/128a.jpg,stimuli/fractals/128b.jpg,0.289747709321708,0.100503939636149,0.148623058135784,-0.256839523319471,0.0357608566306163,-0.276656155269967,-0.19443650273571,0.311995730762933
ENC,130,3000,3,2,OBJ,OLP,1,6,stimuli/fractals/1b.jpg,-0.181884538534007,-0.390922747362304,stimuli/fractals/1b.jpg,stimuli/fractals/1c.jpg,stimuli/fractals/1a.jpg,-0.181884538534007,-0.390922747362304,-0.26696329802286,0.169744382514388,-0.137563008087083,0.0789012053093446,0.388843427099495,-0.129454345094039
ENC,131,3000,3,2,OBJ,OLP,1,3,stimuli/fractals/69c.jpg,0.0816556502650406,-0.18466892858108,stimuli/fractals/69c.jpg,stimuli/fractals/69b.jpg,stimuli/fractals/69a.jpg,0.0816556502650406,-0.18466892858108,0.309043406304654,-0.202631602334976,0.208004086958421,0.267715200143796,-0.351108666552268,0.381678573548359
ENC,132,2000,3,2,OBJ,ERP,2,0,stimuli/fractals/99b.jpg,0.0400367662597542,0.40451821050214,stimuli/fractals/99b.jpg,stimuli/fractals/99c.jpg,stimuli/fractals/99a.jpg,0.0400367662597542,0.40451821050214,0.264861107056703,0.0838778748784019,0.16530458632621,-0.11179650101606,-0.244036667021697,-0.291273935017788
